note,volume,duration
B4,1.0,1.0
B4,1.0,1.0
C5,1.0,1.0
D5,1.0,1.0
D5,1.0,1.0
C5,1.0,1.0
B4,1.0,1.0
A4,1.0,1.0
G4,1.0,1.0
G4,1.0,1.0
A4,1.0,1.0
B4,1.0,1.0
B4,1.0,1.5
A4,1.0,0.5
A4,1.0,2.0
B4,1.0,1.0
B4,1.0,1.0
C5,1.0,1.0
D5,1.0,1.0
D5,1.0,1.0
C5,1.0,1.0
B4,1.0,1.0
A4,1.0,1.0
G4,1.0,1.0
G4,1.0,1.0
A4,1.0,1.0
B4,1.0,1.0
A4,1.0,1.5
G4,1.0,0.5
G4,1.0,2.0
A4,1.0,1.0
A4,1.0,1.0
B4,1.0,1.0
G4,1.0,1.0
A4,1.0,1.0
B4,1.0,0.5
C5,1.0,0.5
B4,1.0,1.0
G4,1.0,1.0
A4,1.0,1.0
B4,1.0,0.5
C5,1.0,0.5
B4,1.0,1.0
A4,1.0,1.0
G4,1.0,1.0
A4,1.0,1.0
D4,1.0,2.0
B4,1.0,1.0
B4,1.0,1.0
C5,1.0,1.0
D5,1.0,1.0
D5,1.0,1.0
C5,1.0,1.0
B4,1.0,1.0
A4,1.0,1.0
G4,1.0,1.0
G4,1.0,1.0
A4,1.0,1.0
B4,1.0,1.0
A4,1.0,1.5
G4,1.0,0.5
G4,1.0,6.0
