scale,chord_name,notes
Major,A♭,A♭-B♭-C-D♭-E♭-F-G-A♭
Major,A,A-B-C♯-D-E-F♯-G♯-A
Major,B♭,B♭-C-D-E♭-F-G-A-B♭
Major,B,B-C♯-D♯-E-F♯-G♯-A♯-B
Major,C,C-D-E-F-G-A-B-C
Major,D♭,D♭-E♭-F-G♭-A♭-B♭-C-D♭
Major,D,D-E-F♯-G-A-B-C♯-D
Major,E♭,E♭-F-G-A♭-B♭-C-D-E♭
Major,E,E-F♯-G♯-A-B-C♯-D♯-E
Major,F,F-G-A-B♭-C-D-E-F
Major,G♭,F♯-G♯-A♯-B-C♯-D♯-E♯-F♯
Major,G,G-A-B-C-D-E-F♯-G
Natural-Minor,a♭,A♭-B♭-C♭-D♭-E♭-F♭-G♭-A♭
Natural-Minor,a,A-B-C-D-E-F-G-A
Natural-Minor,b♭,B♭-C-D♭-E♭-F-G♭-A♭-B♭
Natural-Minor,b,B-C♯-D-E-F♯-G-A-B
Natural-Minor,c,C-D-E♭-F-G-A♭-B♭-C
Natural-Minor,d♭,C♯-D♯-E-F♯-G♯-A-B-C♯
Natural-Minor,d,D-E-F-G-A-B♭-C-D
Natural-Minor,e♭,E♭-F-G♭-A♭-B♭-C♭-D♭-E♭
Natural-Minor,e,E-F♯-G-A-B-C-D-E
Natural-Minor,f,F-G-A♭-B♭-C-D♭-E♭-F
Natural-Minor,g♭,F♯-G♯-A-B-C♯-D-E-F♯
Natural-Minor,g,G-A-B♭-C-D-E♭-F-G
Harmonic-Minor,a♭-hrm,A♭-B♭-C♭-D-♭-E♭-F♭-G-A♭
Harmonic-Minor,a-hrm,A-B-C-D-E-F-G♯-A
Harmonic-Minor,b♭-hrm,B♭-C-D♭-E♭-F-G♭-A-B♭
Harmonic-Minor,b-hrm,B-C♯-D-E-F♯-G-A♯-B
Harmonic-Minor,c-hrm,C-D-E♭-F-G-A♭-B-C
Harmonic-Minor,d♭-hrm,C♯-D♯-E-F♯-G♯-A-B♯-C♯
Harmonic-Minor,d-hrm,D-E-F-G-A-B♭-C♯-D
Harmonic-Minor,e♭-hrm,E♭-F-G♭-A♭-B♭-C♭-D-E♭
Harmonic-Minor,e-hrm,E-F♯-G-A-B-C-D♯-E
Harmonic-Minor,f-hrm,F-G-A♭-B♭-C-D♭-E-F
Harmonic-Minor,g♭-hrm,F♯-G♯-A-B-C♯-D-E♯-F♯
Harmonic-Minor,g-hrm,G-A-B♭-C-D-E♭-F♯-G
Melodic-Minor,a♭-mel,A♭-B♭-C♭-D♭-E♭-F-G-A♭
Melodic-Minor,a-mel,A-B-C-D-E-F♯-G♯-A
Melodic-Minor,b♭-mel,B♭-C-D♭-E♭-F-G-A-B♭
Melodic-Minor,b-mel,B-C♯-D-E-F♯-G♯-A♯-B
Melodic-Minor,c-mel,C-D-E♭-F-G-A-B-C
Melodic-Minor,d♭-mel,C♯-D♯-E-F♯-G♯-A♯-B♯-C♯
Melodic-Minor,d-mel,D-E-F-G-A-B-C♯-D
Melodic-Minor,e♭-mel,E♭-F-G♭-A♭-B♭-C-D-E♭
Melodic-Minor,e-mel,E-F♯-G-A-B-C♯-D♯-E
Melodic-Minor,f-mel,F-G-A♭-B♭-C-D-E-F
Melodic-Minor,g♭-mel,F♯-G♯-A-B-C♯-D♯-E♯-F♯
